Front,Back,Tags
"How long is required to reduce 2,000 ppm to 200 ppm in 12,000 ft³ at 2,000 cfm?","t≈13.82 min.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
What fraction remains after three nominal air changes under ideal first-order purging?,"e^-3=4.98%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
How many nominal air changes reduce concentration to 1%?,"N=−ln(.01)=4.605 ACH-equivalents.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If target concentration is cut in half, how does required dilution airflow change?","It doubles, all else equal.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What airflow does the book's solvent-generation equation predict for SG=.81, ER=.033 pint/min, MW=72, Cg=50 ppm, and overall factor 5?","Q=14,961 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What effective airflow follows from 14,961 cfm actual airflow and K=5?","Q′≈2,992 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If target concentration changes from 50 to 25 ppm, what happens to required dilution airflow?","It doubles.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If generation rate doubles at constant target concentration, what happens to required airflow?","It doubles.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If molecular weight doubles with all other inputs fixed, what happens to required airflow in the solvent equation?","It halves.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What steady-state concentration increment results from 500 mg/min generation and 2,000 m³/min effective airflow?","C=G/Q=.25 mg/m³.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What generation rate produces .40 mg/m³ at 1,500 m³/min effective airflow?","G=CQ=600 mg/min.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If a source adds 30 ppm and supply air contains 20 ppm, what total steady-state concentration is predicted in the simple additive model?","50 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If supply air is 10 ppm and the source contribution is 15 ppm, what total is predicted?","25 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"A fan moves 10,000 cfm at d=10 in. What airflow is predicted at d=12 in, constant RPM, using Q∝d³?","17,280 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"A fan moves 10,000 cfm at 1,000 rpm. What airflow is predicted at 1,200 rpm, constant diameter?","12,000 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"A fan produces 2.0 in. w.g. at 1,000 rpm. What pressure is predicted at 1,200 rpm, constant diameter?","2.88 in. w.g.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"A fan uses 10 hp at 1,000 rpm. What power is predicted at 1,200 rpm, constant diameter?","17.28 hp.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If fan diameter rises 20% at constant RPM, by what factor does airflow change?","1.2³=1.728×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If fan diameter rises 20% at constant RPM, by what factor does pressure change?","1.2²=1.44×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If fan diameter rises 20% at constant RPM, by what factor does power change?","1.2⁵=2.488×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If RPM falls 10% at constant diameter, by what factor does airflow change?","0.90×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If RPM falls 10% at constant diameter, by what factor does pressure change?","0.81×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If RPM falls 10% at constant diameter, by what factor does power change?","0.729×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What FSP results from SPout=2.0, SPin=−1.0, and VPin=.2 in. w.g.?","FSP=2−(−1)−.2=2.8 in. w.g.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
What FTP results from TPout=3.5 and TPin=1.2 in. w.g.?,"FTP=2.3 in. w.g.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If airflow doubles in a fixed-resistance system, what approximate pressure factor follows from P∝Q²?","Pressure rises by 4×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If airflow doubles in a fixed-resistance system, what approximate power factor follows from power∝Q³?","Power rises by 8×.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
What OSHA dose results from 2 h at 95 dBA plus 2 h at 90 dBA?,"D=100[(2/4)+(2/8)]=75%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA dose results from 4 h at 90 dBA?,"D=50%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA dose results from 1 h at 105 dBA?,"D=100%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA dose results from 30 min at 110 dBA?,"D=100%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA dose results from 15 min at 115 dBA?,"D=100%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA TWA corresponds to 50% dose?,"85.0 dBA.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA TWA corresponds to 100% dose?,"90.0 dBA.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA TWA corresponds to 200% dose?,"≈95.0 dBA.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What dose corresponds to 85 dBA OSHA TWA?,"≈50%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What dose corresponds to 95 dBA OSHA TWA?,"≈200%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA dose results from 1 h at 100 dBA plus 2 h at 90 dBA?,"75%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
"What OSHA dose results from 0.5 h at 110, 1 h at 100, and 4 h at 90 dBA?","200%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA TWA corresponds to the preceding 200% dose?,"≈95.0 dBA.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What maximum OSHA duration is listed for 100 dBA?,"2 h.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What maximum OSHA duration is listed for 105 dBA?,"1 h.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What maximum OSHA duration is listed for 110 dBA?,"0.5 h.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What maximum OSHA duration is listed for 115 dBA?,"0.25 h.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA dose results from 3 h at 90 dBA plus 2 h at 95 dBA?,"87.5%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA dose results from 6 h at 85 dBA plus 2 h at 90 dBA?,"62.5%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA TWA corresponds to 62.5% dose?,"≈86.33 dBA.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA dose results from 8 h at 90 dBA?,"100%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What OSHA TWA corresponds to 150% dose?,"≈92.93 dBA.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
"What OSHA dose is associated with the 85-dBA, 8-h hearing-conservation action level?","50% dose.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
"What A-weighting correction is listed at 1,000 Hz in the book's octave table?","0 dB.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What A-weighting correction is listed at 500 Hz?,"−3.2 dB.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
"What A-weighting correction is listed at 2,000 Hz?","+1.2 dB.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What A-weighted level results from 90 dB at 500 Hz using −3.2 dB correction?,"86.8 dBA.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
"What A-weighted level results from 90 dB at 2,000 Hz using +1.2 dB correction?","91.2 dBA.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What SPL results when pressure is 10× reference pressure?,"20 dB.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What intensity level results when intensity is 100× reference intensity?,"20 dB.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
How much does free-field SPL change when distance doubles?,"About −6.02 dB.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
A source is 100 dBA at 2 m. What is the predicted level at 8 m?,"≈87.96 dBA.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What combined level results from two identical independent 90-dB sources?,"≈93.01 dB.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
What combined level results from independent 80- and 83-dB sources?,"≈84.76 dB.

Reference: Modern formula: BGC 2026 CIH Equation Sheet p.2; OSHA 29 CFR 1910.95 App. A; book topic: 5th ed., pp.207–224.",CIH_Hardcore_V2 Noise
"What ppm concentration results from 0.01 L contaminant in 1,000 L air?","10 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What ppm results from vapor partial pressure 0.002 atm at total pressure 1 atm?,"2,000 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"At 25°C and 1 atm, what ppm corresponds to 24.45 mg/m³ of a gas with MW 48?","≈12.45 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"At 25°C and 1 atm, what mg/m³ corresponds to 100 ppm of MW 50?","≈204.5 mg/m³.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"At 25°C and 1 atm, what ppm corresponds to 10 mg/m³ of MW 100?","2.445 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What molar volume does the BGC sheet use at 25°C and 1 atm?,"24.45 L/mol.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
"What molar volume does the book state at STP (0°C, 760 mmHg)?","22.4 L/mol.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What Celsius temperature is 86°F?,"30°C.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What Fahrenheit temperature is 25°C?,"77°F.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What Kelvin temperature is 27°C?,"300.15 K.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What Rankine temperature is 70°F using the BGC conversion?,"530°R.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What pressure in pascals is 1 atm?,"101,325 Pa.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What pressure in mmHg is 2 atm?,"1,520 mmHg.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What volume in liters is 1 ft³?,"28.32 L.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What mass in grams is 2 lb using the BGC conversion?,"907.2 g.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What partial pressure does a 0.25 mole fraction exert at 760 mmHg?,"190 mmHg.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What partial pressure does a 30% component exert at 2 atm?,"0.60 atm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
What pH results from [H+]=10^-4 M?,"4.

Reference: Modern formula: BGC 2026 CIH Equation Sheet pp.2–3; book topic: 5th ed., pp.149–206, 487–521, Appendix D.",CIH_Hardcore_V2 General_Science_Exposure
