Front,Back,Tags
What distinguishes allergic contact dermatitis from irritant dermatitis?,"Allergic contact dermatitis is an immune-mediated response after sensitization; later exposures can cause reactions to very small amounts.

Reference: pp. 64–66 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH03 CIH_Toxicology Concept
Why is glove permeability important in chemical protection?,"A glove can appear intact yet allow a chemical to pass through; permeability and breakthrough time must therefore be considered when selecting glove material.

Reference: pp. 66–67 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH03 CIH_NonEngineeringControls Concept
What are the three anatomical divisions of the ear?,"External, middle, and inner ear.

Reference: p. 83 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH04 CIH_BasicScience Concept
What is the function of the external ear?,"It collects sound waves and funnels them through the ear canal to the tympanic membrane.

Reference: p. 84 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH04 CIH_BasicScience Concept
What do the three ossicles do?,"They transmit and mechanically amplify vibrations from the eardrum to the fluid of the inner ear.

Reference: p. 85 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH04 CIH_BasicScience Concept
Where does sound-induced neural signaling begin?,"Mechanical vibration of cochlear fluid is sensed by nerves in the cochlea, which transmit information to the central nervous system.

Reference: p. 85 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH04 CIH_BasicScience Concept
What is conductive hearing loss?,"Hearing loss caused by dysfunction or damage in the external or middle ear that interferes with sound conduction.

Reference: p. 96 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH04 CIH_Noise Concept
What is sensorineural hearing loss?,"Hearing loss associated with dysfunction of the inner ear or neural auditory pathway.

Reference: p. 96 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH04 CIH_Noise Concept
What occupational agent is the principal hazard emphasized for hearing loss?,"Noise.

Reference: pp. 88–97 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH04 CIH_Noise Concept
What does audiometric testing provide in an occupational hearing program?,"A standardized means to diagnose and monitor hearing acuity and detect changes over time.

Reference: p. 97 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH04 CIH_Noise Concept
At what 8-hour TWA noise exposure does this edition state OSHA hearing conservation requirements apply?,"85 dBA.

Reference: p. 97 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH04 CIH_Noise Concept
What is the key distinction between conductive and sensorineural loss?,"Conductive loss involves sound transmission through the external/middle ear; sensorineural loss involves inner-ear or neural dysfunction.

Reference: p. 96 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH04 CIH_Noise Concept
What is the main function of the eye's cornea?,"It is the transparent anterior surface that admits and refracts light and provides a major portion of the eye's focusing power.

Reference: pp. 99–103 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH05 CIH_BasicScience Concept
What is the function of the lens?,"It fine-tunes focus by changing shape to accommodate objects at different distances.

Reference: pp. 101–104 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH05 CIH_BasicScience Concept
What is the retina?,"The light-sensitive layer of the eye that converts optical information into neural signals.

Reference: pp. 103–105 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH05 CIH_BasicScience Concept
What occupational hazards can injure the eye?,"Mechanical particles/foreign bodies, chemicals, radiation, intense light, heat, and other physical agents.

Reference: pp. 106–112 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH05 CIH_Radiation Concept
Why is the cornea particularly vulnerable to external hazards?,"It is exposed at the front of the eye and can be directly injured by particles, chemicals, and radiation.

Reference: pp. 106–108 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH05 CIH_NonEngineeringControls Concept
What is photokeratitis?,"An acute inflammatory injury of the cornea caused by excessive ultraviolet exposure.

Reference: pp. 108–110 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH05 CIH_Radiation Concept
What is cataract formation in occupational hygiene?,"Clouding of the lens that can result from certain occupational exposures, including some forms of radiation and intense heat.

Reference: pp. 110–112 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH05 CIH_Radiation Concept
What is a primary principle of eye protection?,"Select protection based on the specific hazard, its energy/trajectory, and the exposure scenario.

Reference: pp. 111–114 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH05 CIH_NonEngineeringControls Concept
Why should corrective eyewear and protective eyewear be considered together?,"Workers who need vision correction still require protective eyewear appropriate to the hazard; ordinary corrective lenses are not automatically adequate protection.

Reference: pp. 112–114 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH05 CIH_NonEngineeringControls Concept
What is the general control objective for eye hazards?,"Prevent hazardous material or energy from reaching or injuring ocular tissue.

Reference: pp. 106–114 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH05 CIH_NonEngineeringControls Concept
What is toxicology?,"The study of the adverse effects of chemical or physical agents on living organisms and the factors influencing those effects.

Reference: p. 123 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH06 CIH_Toxicology Concept
What is the dose-response relationship?,"The relationship between the magnitude of exposure/dose and the magnitude or probability of an adverse effect.

Reference: pp. 123–127 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH06 CIH_Toxicology Concept
Distinguish acute from chronic toxicity.,"Acute toxicity results from relatively short-term exposure and often rapid effects; chronic toxicity involves repeated or prolonged exposure with effects that may develop over longer periods.

Reference: pp. 123–128 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH06 CIH_Toxicology Concept
What is latency?,"The interval between exposure to an agent and the appearance of an effect or disease.

Reference: pp. 123–128 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH06 CIH_Toxicology Concept
What is the difference between allergy and hypersusceptibility?,"Allergy is an immune-mediated response after sensitization and has immunologic memory; hypersusceptibility is the usual effect occurring in an unusually sensitive person at a lower dose, without immunologic memory.

Reference: p. 129 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH06 CIH_Toxicology Concept
What are the three common routes of occupational exposure?,"Inhalation, skin absorption/contact, and ingestion.

Reference: pp. 123–129 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH06 CIH_Toxicology Concept
What is a target organ?,"An organ or tissue that is particularly affected by an agent after exposure and distribution.

Reference: pp. 128–140 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH06 CIH_Toxicology Concept
What is synergism in toxicology?,"An interaction in which combined agents produce an effect greater than expected from their individual effects.

Reference: pp. 135–140 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH06 CIH_Toxicology Concept
Why can a chemical's physical properties affect toxicity?,"Properties such as volatility, solubility, particle size, and reactivity influence uptake, route of entry, deposition, and target-organ exposure.

Reference: pp. 123–149 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH06 CIH_AnalyticalChemistry Concept
Why should the latest toxicological documentation be consulted when applying an exposure limit?,"The scientific basis for an exposure limit can evolve as new data become available; the chapter emphasizes consulting current documentation when judging a TLV.

Reference: p. 24 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH06 CIH_RiskAnalysis Concept
What is a gas?,"A substance that exists in the gaseous state at ordinary temperature and pressure.

Reference: pp. 149–151 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH07 CIH_BasicScience Concept
What is a vapor?,"The gaseous form of a substance that is normally a liquid or solid at ordinary temperature and pressure.

Reference: pp. 149–151 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH07 CIH_BasicScience Concept
Why are volatile solvents important in industrial hygiene?,"Their vapor concentrations can build rapidly and they may be absorbed by inhalation and through skin contact.

Reference: pp. 149–165 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH07 CIH_Toxicology Concept
What factors influence solvent exposure?,"Volatility, temperature, process, ventilation, amount used, duration, and route of exposure.

Reference: pp. 149–165 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH07 CIH_WorkEnvironments Concept
Why can solvent exposure occur through the skin?,"Many solvents can penetrate skin and some can reach systemic circulation in physiologically significant amounts.

Reference: pp. 164–165 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH07 CIH_Toxicology Concept
What is a major mistake in selecting solvent-resistant gloves?,"Assuming that generic 'rubber' or neoprene gloves are protective regardless of the solvent.

Reference: p. 165 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH07 CIH_NonEngineeringControls Concept
What glove property is most important for solvent selection?,"Permeability to the specific solvent, considered together with abrasion resistance and breakthrough time.

Reference: p. 165 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH07 CIH_NonEngineeringControls Concept
What control principle is emphasized for solvent skin exposure?,"Keep the solvent off the skin, using process/mechanical handling controls and appropriate impermeable protective clothing when needed.

Reference: p. 165 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH07 CIH_NonEngineeringControls Concept
When is an air-purifying respirator inappropriate for solvent spraying?,"When solvent is air-sprayed without supplementary mechanical ventilation; the book warns against relying on APRs alone in that scenario.

Reference: p. 165 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH07 CIH_NonEngineeringControls Concept
What is the relationship between solvent vapor concentration and ventilation?,"Increasing effective ventilation can reduce airborne concentration, but local exhaust at the source is preferred when feasible over relying solely on dilution.

Reference: pp. 160–165 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH07 CIH_EngineeringControls Concept
What is a particulate aerosol?,"A suspension of solid or liquid particles in air.

Reference: pp. 169–173 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH08 CIH_BasicScience Concept
What is aerodynamic diameter used for?,"It characterizes particle behavior in air based on aerodynamic properties and helps predict deposition and sampling behavior.

Reference: pp. 174–180 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH08 CIH_AirSampling Concept
Why is particle size important to respiratory exposure?,"Particle size strongly influences where particles deposit in the respiratory tract and how they can be collected by sampling devices.

Reference: pp. 174–184 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH08 CIH_AirSampling Concept
What is fume?,"A particulate aerosol commonly formed when a vapor condenses after volatilization, often producing very small particles.

Reference: pp. 169–173 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH08 CIH_BasicScience Concept
What is dust?,"A particulate aerosol generated mechanically from larger solid material, such as by crushing, grinding, or abrasion.

Reference: pp. 169–173 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH08 CIH_WorkEnvironments Concept
What is mist?,"A particulate aerosol consisting of liquid droplets generated mechanically or by condensation.

Reference: pp. 169–173 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH08 CIH_BasicScience Concept
What is the difference between inhalable and respirable particulate fractions?,"They represent different particle-size fractions defined by the portion that can enter the respiratory tract and reach deeper lung regions; respirable particles are the smaller fraction capable of penetrating to the gas-exchange region.

Reference: pp. 177–185 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH08 CIH_AirSampling Concept
What is a cyclone used for in particulate sampling?,"It separates particles by aerodynamic size so a selected respirable fraction can be collected on a downstream filter.

Reference: pp. 191–195 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH08 CIH_AirSampling Concept
Why must particulate sampling methods match the target fraction?,"A method designed for one aerodynamic size fraction may not accurately represent exposure to another fraction.

Reference: pp. 185–195 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH08 CIH_AirSampling Concept
Name two occupational diseases associated with particulate exposure discussed in the chapter.,"Pneumoconioses such as silicosis and asbestosis; other particulate exposures can also produce fibrosis, cancer, or respiratory irritation depending on the agent.

Reference: pp. 180–205 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH08 CIH_Toxicology Concept
What is sound pressure level referenced to in air?,"20 micropascals (20 µPa), approximately the threshold of hearing for a young person with excellent hearing.

Reference: p. 217 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH09 CIH_Noise Concept
What is the difference between a sound level meter and a noise dosimeter?,"A sound level meter measures sound at a location/time; a dosimeter integrates an individual's noise exposure over time.

Reference: pp. 218–223 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH09 CIH_Noise Concept
What response setting does the book state OSHA uses for compliance sound-level measurements?,"Slow response.

Reference: p. 220 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH09 CIH_Noise Concept
What is an octave in sound analysis?,"A frequency interval in which the upper frequency is twice the lower frequency.

Reference: p. 220 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH09 CIH_Noise Concept
What is the OSHA 8-hour permissible exposure level stated in the book?,"90 dBA for 8 hours, using a 5-dBA exchange rate.

Reference: p. 224 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH09 CIH_Noise Concept
What is a 5-dB exchange rate?,"Every 5-dBA increase in level cuts the allowable exposure time in half.

Reference: p. 224 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH09 CIH_Noise Concept
What is the mixed-exposure noise equation?,"Eₘ = C₁/T₁ + C₂/T₂ + … + Cₙ/Tₙ; a value of 1 corresponds to 100% dose.

Reference: p. 224 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH09 CIH_Noise Calculation
Calculate the OSHA mixed noise exposure for 2 h at 90 dBA and 2 h at 95 dBA.,"T₉₀ = 8 h and T₉₅ = 4 h, so Eₘ = 2/8 + 2/4 = 0.75, or 75% dose.

Reference: p. 224 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH09 CIH_Noise Calculation
"What OSHA noise dose results from 3.75 h at 85 dBA, 2 h at 90 dBA, 2 h at 95 dBA, and 0.25 h at 110 dBA using the book's table?","125% dose, so the mixed exposure exceeds the allowable limit.

Reference: p. 224 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH09 CIH_Noise Calculation
What are the five basic components of an OSHA hearing conservation program described in the book?,"Exposure monitoring, audiometric testing, hearing protection, employee training, and recordkeeping.

Reference: p. 237 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH09 CIH_Noise Concept
What is ionizing radiation?,"Radiation energetic enough to ionize atoms or molecules by removing electrons.

Reference: pp. 257–260 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH10 CIH_Radiation Concept
Name the major types of ionizing radiation emphasized in industrial hygiene.,"Alpha particles, beta particles, gamma radiation, x-rays, and neutrons.

Reference: pp. 257–265 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH10 CIH_Radiation Concept
What is an alpha particle?,"A helium nucleus consisting of two protons and two neutrons.

Reference: pp. 259–261 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH10 CIH_Radiation Concept
What is a beta particle?,"A high-energy electron or positron emitted during radioactive decay.

Reference: pp. 259–262 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH10 CIH_Radiation Concept
What is gamma radiation?,"High-energy electromagnetic radiation emitted from atomic nuclei.

Reference: pp. 259–263 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH10 CIH_Radiation Concept
What is half-life?,"The time required for the activity or number of radioactive atoms in a sample to decrease to one-half its initial value.

Reference: pp. 263–265 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH10 CIH_BasicScience Concept
What are the three classic methods for reducing external radiation exposure?,"Time, distance, and shielding.

Reference: pp. 270–275 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH10 CIH_Radiation Concept
How does increasing distance from a point source affect radiation intensity?,"For a point source, intensity decreases approximately with the inverse square of distance.

Reference: pp. 270–275 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH10 CIH_Radiation Concept
Why are dosimeters used in radiation protection?,"To measure an individual's accumulated radiation exposure/dose over a defined period.

Reference: pp. 272–279 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH10 CIH_Radiation Concept
What is the key distinction between contamination and exposure in radiation protection?,"Exposure refers to receiving radiation; contamination refers to radioactive material being deposited on or entering a person or surface.

Reference: pp. 275–279 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH10 CIH_Radiation Concept
What is nonionizing radiation?,"Radiation that does not have enough photon energy to ionize atoms or molecules under the conditions considered.

Reference: pp. 281–284 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH11 CIH_Radiation Concept
Name major nonionizing radiation categories discussed in the chapter.,"Ultraviolet, visible/infrared, lasers, radiofrequency/microwave, and low-frequency electromagnetic fields.

Reference: pp. 281–325 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH11 CIH_Radiation Concept
What is the primary biological hazard of ultraviolet radiation?,"Photochemical injury, especially to skin and eyes.

Reference: pp. 286–293 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH11 CIH_Radiation Concept
Why are lasers potentially hazardous?,"They can concentrate optical energy into a very small area, producing severe eye and skin injury.

Reference: pp. 298–306 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH11 CIH_Radiation Concept
What is a key engineering control for laser hazards?,"Enclose or shield the beam path so hazardous radiation cannot reach personnel.

Reference: pp. 302–309 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH11 CIH_EngineeringControls Concept
What is the main thermal effect of microwave/RF exposure emphasized in the book?,"Absorption of electromagnetic energy can heat tissue.

Reference: pp. 309–317 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH11 CIH_Radiation Concept
Why can reflection matter for microwave hazards?,"Conductive surfaces can reflect electromagnetic energy and create unexpected exposure fields.

Reference: pp. 315–319 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH11 CIH_Radiation Concept
What is the role of distance in nonionizing radiation control?,"Increasing distance can reduce irradiance or field strength and therefore reduce exposure, depending on the source and geometry.

Reference: pp. 285–325 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH11 CIH_Radiation Concept
What is a key principle for evaluating optical radiation?,"Measure the relevant wavelength-dependent exposure and compare it with the applicable exposure criterion.

Reference: pp. 286–306 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH11 CIH_Radiation Concept
What is a general strategy for nonionizing radiation control?,"Use source enclosure, shielding/barriers, interlocks or beam controls where applicable, distance, exposure-time reduction, and appropriate PPE.

Reference: pp. 300–325 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH11 CIH_NonEngineeringControls Concept
What three factors most strongly influence thermal stress?,"Environmental/climatic conditions, work demands/metabolic rate, and clothing.

Reference: p. 328 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH12 CIH_ThermalStress Concept
What is WBGT used for?,"As an index of environmental heat stress for occupational evaluation.

Reference: p. 329 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH12 CIH_ThermalStress Concept
What is the indoor/no-solar WBGT equation?,"WBGTᵢₙ = 0.7 Tₙwb + 0.3 Tgt.

Reference: p. 329 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH12 CIH_ThermalStress Calculation
What is the outdoor/solar WBGT equation?,"WBGTₒᵤₜ = 0.7 Tₙwb + 0.2 Tgt + 0.1 Tdb.

Reference: p. 329 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH12 CIH_ThermalStress Calculation
Calculate indoor WBGT when natural wet-bulb temperature is 25°C and globe temperature is 35°C.,"WBGT = 0.7(25) + 0.3(35) = 17.5 + 10.5 = 28.0°C.

Reference: p. 329 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH12 CIH_ThermalStress Calculation
What does zero heat-storage rate (S = 0) mean?,"The body is in thermal equilibrium: heat gain is balanced by heat loss.

Reference: p. 328 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH12 CIH_ThermalStress Concept
What happens when heat-storage rate S is positive?,"The body is gaining heat at the rate represented by S.

Reference: p. 328 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH12 CIH_ThermalStress Concept
What is the book's practical sustained core-temperature criterion for industrial heat stress?,"Core temperature should not exceed about 39°C in industrial heat exposures; a sustained 38°C criterion is used in the discussion of physiological strain.

Reference: p. 342 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH12 CIH_ThermalStress Concept
What is recovery heart rate HRR1 criterion cited for demonstrating effective heat-stress control?,"Recovery heart rate at one minute should be less than 110 beats/min.

Reference: p. 342 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH12 CIH_ThermalStress Concept
What is a key engineering approach to cold stress?,"Increase air temperature, reduce air speed, reduce conductive heat transfer, and provide warming areas/shelters as appropriate.

Reference: pp. 350–353 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH12 CIH_ThermalStress Concept
What is ergonomics?,"Application of principles concerning people, tasks, tools, and environments to fit work to human capabilities and reduce injury/illness.

Reference: pp. 357–360 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH13 CIH_Ergonomics Concept
What is anthropometry?,"The measurement and study of human body dimensions and proportions for design purposes.

Reference: pp. 360–365 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH13 CIH_Ergonomics Concept
What is biomechanics?,"Application of mechanical principles to human movement, forces, and loading of body tissues.

Reference: pp. 365–375 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH13 CIH_Ergonomics Concept
What is a cumulative trauma disorder (CTD)?,"A musculoskeletal disorder associated with repeated or sustained loading, often involving repeated motion, force, awkward posture, or insufficient recovery.

Reference: pp. 399–414 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH13 CIH_Ergonomics Concept
Name major ergonomic risk factors.,"Force, repetition, awkward/static posture, vibration, contact stress, and inadequate recovery/time organization.

Reference: pp. 399–414 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH13 CIH_Ergonomics Concept
Why is neutral posture important?,"It generally minimizes joint deviation and muscle/tendon loading compared with sustained awkward postures.

Reference: pp. 380–390 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH13 CIH_Ergonomics Concept
